Libellé Fonction,Sous-fonction,Libellé sous-fonction,Article,Bénéficiaire,Budget de l'année,Libellé article
Interventions sociales et santé,523.1,Actions en faveur des personnes en difficulté,6574,Mouvement Aide à Toute Détresse Quart Monde (ATD Quart Monde)- Délégation Régionale pour la Bretagne,19500,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.15,CRR - Musiques,6574,MJC La Paillette Formation musicale,3000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,MQ Villejean FONJEP (1 poste),65899,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Association Sportive,111929,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,522.1,Centres sociaux,6574,Association Rennaise des Centres Sociaux (ARCS),2315000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Comité de Quartier Francisco-Ferrer,173884,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,Association Skeudenn Bro Roazhon,113500,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,APRAS POLE ASSOCIATIF MARBAUDAIS,2126,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,40 m cube-Association du Jour,48131,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Cannelle,114000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,CARRE RENNAIS - MULTI ACCUEIL LE CARRE DES PETITS RENNAIS,7500,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,Centre Régional d'Information Jeunesse Bretagne (CRIJB)  - fonctionnement,542684,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,Cercle Celtique de Rennes,64604,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,GRPAS (Groupement Pédagogique d'Animation Sociale),30000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,521.1,Handicap et accessibilité,6574,Handicap Services 35,10000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,LEO LAGRANGE OUEST - LA BELLANGERAIS,113213,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,Ligue de l'Enseignement-FAL 35 - Centre ressources info écoles,32500,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,Ligue de l'Enseignement-FAL 35. - Classes de ville,7300,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Mouvement français pour le Planning Familial,19305,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Petits Potes,85000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Société de Tir La Du Guesclin,7991,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains, environnement,824.4,6574,VERT LE JARDIN,9900,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,20.61,Autres charges de personnel,6574,Amicale des retraités territoriaux,3000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,3 REGARDS LEO LAGRANGE - HARPE EN JAZZ,4650,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,MAISON DE L'EUROPE DE RENNES ET DE HAUTE BRETAGNE,10000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,LEO LAGRANGE OUEST - 3 REGARDS,122415,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,LE CRABE ROUGE,78051,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Commune Libre Sainte-Thérèse (M.Q. Ste Thérèse),87532,Subv. fonct. aux associat.et autres personnes droit privé
Famille,61.1,Aides aux personnes âgées,6574,Association Média Séniors,5200,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,BOURG L EVEQUE,39211,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Handisports Rennes Club,6617,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Rencontre et Culture - Maison Quartier Villejean,730195,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,RESERVOIR DANSE (EX COLLECTIF DANSE),15000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,OCCE Réseau de Réussite Scolaire Villejean,1500,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,OCCE Réseau de Réussite Scolaire Rennes-Sud,3000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,Provision pour projets étudiants,32000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,313.1,Activités théâtrales,6574,Théâtre du Pré Perché - Péniche spectacle,68000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Union Rennes Basket,150000,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Association de jumelage coopération Rennes-Plateau Dogon (AJCRPD),1066,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.2,Tranquillité publique,6574,ASSOCIATION ENJEUX D'ENFANTS,10000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,Association Trans Musicales,985200,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,Centre socio-culturel Les Longs Prés (fonctionnement pôle multimédia),5000,Subvention fonct. - Nouvelles technologies
Sports et jeunesse,422.1,Action socio-éducative,6574.02,Cercle Paul Bert (CPB)  - Fonctionnement pôle multimédia (Landrel,30000,Subvention fonct. - Nouvelles technologies
Culture,33.1,Autres actions artistiques et culturelles,6574,Clair Obscur,188441,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Comité jumelage  Rennes-Erlangen,1066,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,FRANCE BENEVOLAT,2866,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,MJC Antipode Cleunay,185478,Subv. fonct. aux associat.et autres personnes droit privé
Culture,313.1,Activités théâtrales,6574,MJC La Paillette,401239,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,PROVISION ENGAGEMENT CITOYEN,21300,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,94.1,Commerce - diverses actions,6574,Provision - Manifestation Arts du Feu,6500,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,23.101,Information Communication,6574,PROVISION POUR AIDE AUX FESTIVALS,130000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,415.1,Secteur sportif - manif.coorganisées,6574,PROVISION POUR EVENEMENTIEL SPORTIF,251952,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,24.201,Relations Publiques,6574,Provision pour les associations d'anciens combattants et victimes de guerre,11000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,314.2,Théâtre National de Bretagne,6574,SMEL Théâtre National de Bretagne (TNB),3021150,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Union Locale des Retraités CFDT du Pays de Rennes (ULR),500,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Stade Rennais Athlétisme,34950,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Comité jumelage  Rennes-Exeter,1066,Subv. fonct. aux associat.et autres personnes droit privé
Logement,72.1,Aides au logement social,6574,Consommation Logement et Cadre de Vie (CLCV),37120,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Centre Franco Allemand (CEFA),21305,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.15,Egalité des droits et diversité,6574,CENTRE CULTUREL BOUDDHIQUE,15527,Subv. fonct. aux associat.et autres personnes droit privé
Famille,61.1,Aides aux personnes âgées,6574,Association pour l'Université du Temps Libre (UTL),5200,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,MERLINPINPIN Lieu d'Accueil Enfants Parents,7060,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,522.1,Centres sociaux,6574,ARCS - Animation Centre Ville,20000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,MAISON DES ANCIENS COMBATTANTS,8207,Subv. fonct. aux associat.et autres personnes droit privé
Famille,61.1,Aides aux personnes âgées,6574,Observatoire et Pôle d'Animation des Retraités Rennais (OPAR),176702,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,Orchestre Régional de Bretagne,1303000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,65738,Office public de la langue Bretonne,12000,Subv.de fonct. aux autres organismes publics
Interventions sociales et santé,521.1,Handicap et accessibilité,6574,Union Régionale des Associations de  Parents et d'Enfants Déficients Auditifs (URAPEDA),20000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.2,Tranquillité publique,6574,TOUT ATOUT - Prévention en direction des jeunes,4000,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains, environnement,824.3,6574,Provision pour co-financement poste adultes-relais,85343,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,PROVISION FONDS JEUNESSE ET QUARTIERS PRIORITAIRES,10000,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,94.3,Consommation - diverses actions,6574,MCE CENTRE ECOLES ENVIRONNEMENT,14166,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,PROVISION TAM TAM CRIJB,43000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Rennes Evasion Nature,1368,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,212.1,Enseignement public 1er  degré - élémentaire,6574,Dotations annuelles aux associations d'écoles pour les petites fournitures,33000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,CPB FORMATION JEUNES ADULTES,25000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.2,Tranquillité publique,6574,OPTIMA - ACCES AU DROIT - QUARTIERS PRIORITAIRES,20000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,61.1,Aides aux personnes âgées,6574,Provision  Actions en direction des personnes âgées,13000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,MJC Bréquigny (Clôteaux),344379,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,93.1,Maitrise énergie,6574,Clé - ALEC - Agence locale de l'énergie et du climat du pays de Rennes,32800,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,523.1,Actions en faveur des personnes en difficulté,6574,Banque Alimentaire 35,5000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.2,Tranquillité publique,6574,Association d'Aide aux Victimes d'Infractions Pénales et d'Accès au Droit - SOS Victimes 35,15000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,313.1,Activités théâtrales,6574,Association Art Dramatique Expression Culture (ADEC) - Maison du Théâtre Amateur,51340,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.2,Tranquillité publique,6574,Association Brin de Soleil,10000,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Association jumelage  Rennes-Shimaï Toshi Sendaï,1066,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,AY-ROOP,53000,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,20.61,Autres charges de personnel,6574,CASDEC,656802,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Cercle Paul Bert (CPB) - Fonctionnement,2789744,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Comité de Quartier de la Binquenais,102031,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,213.25,Autres enseignements,6574,Div Yezh Bro Roazhon (Ass. Parents Elèves pour Enseignement du Breton à l'Ecole Publique),11600,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,PAR TOUT ARTISTE,20000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,Provision pour actions culturelles,466550,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,90.3,Actions pour l'emploi,6574,Provision pour emploi associatif local,638752,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,RENNES VOLLEY 35,419189,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,TOUR D'AUVERGNE,40458,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Vétérinaires pour tous 35,3600,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.15,Egalité des droits et diversité,6574,AGE DE LA TORTUE,13000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,3 PTIT TOUR,17000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,AMSIC (Maison des Squares - halte garderie),1600,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,AMSIC  (fonctionnement pôle multimédia),10000,Subvention fonct. - Nouvelles technologies
Sports et jeunesse,422.1,Action socio-éducative,6574.02,3 REGARDS EPN (multimédia),5000,Subvention fonct. - Nouvelles technologies
Action économique,94.3,Consommation - diverses actions,6574,Maison de la Consommation et de l'Environnement (MCE) et Centre Local d'Information sur les prix (CLIP),170735,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,Ligue de l'Enseignement-FAL 35  : fonctionnement,127680,Subv. fonct. aux associat.et autres personnes droit privé
Sécurité et salubrité publiques,114.2,Actions de protection civile,6574,La Prévention Routière,1470,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Association Départementale d'Aide aux Gérants,2000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,ART NORAC - biennale art contemporain,105000,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains,824.3,Politique de la Ville,6574,,12000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.15,Egalité des droits et diversité,6574,PROVISION DIVERSITE CULTURELLE SOUTIEN ASSOCIATION,32620,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,PARENBOUGE ENFANTAISY,42000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Aides Bretagne,9000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,APRAS - PROVISION POUR PROJETS EXPERIMENTAUX,30000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,ASFAD MULTI ACCUEIL M'TI MOUN,208000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Association La Boule d'or (charges),176,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Association Régionale de Médecine du Sport,5000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Au Clair de la Lune,55000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,CENTRE CULTUREL COLOMBIER - PHAKT,5000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,Centre Régional d'Information Jeunesse Bretagne (CRIJB) - fonctionnement pôle multimédia,6300,Subvention fonct. - Nouvelles technologies
Sports et jeunesse,422.1,Action socio-éducative,6574,Les Trois Maisons,163961,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,MJC BREQUIGNY FONCT POLE MULTIMEDIA,8000,Subvention fonct. - Nouvelles technologies
Sports et jeunesse,422.1,Action socio-éducative,6574.02,MJC Le Grand Cordel (fonctionnement pôle multimédia),8000,Subvention fonct. - Nouvelles technologies
Famille,64.116,Autres crèches,6574,PARENBOUGE MULTI ACCUEIL CARRE P'TITS RENNAIS,123750,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574.66,Provision - Aide aux Pays en développement,234876,Subvention fonction.- Aide aux pays en voie dévelop.
